Date,Age,Attrition,Business Travel,Department,Distance From Home,Education,Education Field,Gender,Job Role,Marital Status,Monthly Income,Over Time,Job Satisfaction,Environment Satisfaction,Relationship Satisfaction,Work Life Balance,Performance Rating,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Training Times Last Year,Income_Leval,Age Group
2025-01-12,24,No,Non-Travel,R&D,11,Associates Degree,Other,Female,Manufacturing Director,Divorced,4011.0,No,3,1,4,2,3,5,4,2,1,5,Low,18-25
2024-12-29,36,Yes,Travel_Rarely,Sales,9,Master's Degree,Life Sciences,Male,Sales Representative,Single,3407.0,No,1,3,2,3,4,10,5,3,0,4,Low,36-45
2023-12-10,34,No,Travel_Rarely,R&D,7,Master's Degree,Life Sciences,Female,Research Director,Single,11994.0,No,2,1,3,3,3,13,12,6,2,4,High,26-35
2023-03-06,21,No,Travel_Rarely,R&D,15,Associates Degree,Life Sciences,Male,Research Scientist,Single,1232.0,No,4,3,4,3,3,0,0,0,0,6,Low,18-25
2024-03-15,34,Yes,Travel_Rarely,R&D,6,High School,Medical,Male,Research Scientist,Single,2960.0,No,1,2,3,3,3,8,4,2,1,2,Low,26-35
2024-12-08,53,No,Travel_Rarely,R&D,5,Bachelor's Degree,Other,Female,Manager,Divorced,19094.0,No,3,3,4,2,3,26,14,13,4,3,High,46-55
2024-10-21,32,Yes,Travel_Frequently,R&D,16,High School,Life Sciences,Female,Research Scientist,Single,3919.0,Yes,1,2,2,3,4,10,10,2,6,5,Low,26-35
2024-11-24,42,No,Travel_Rarely,Sales,8,Master's Degree,Marketing,Male,Sales Executive,Married,6825.0,No,2,3,4,3,3,10,9,7,4,2,Medium,36-45
2023-02-07,44,No,Travel_Rarely,R&D,7,Master's Degree,Medical,Female,Healthcare Representative,Married,10248.0,No,4,1,4,3,3,24,22,6,5,4,High,36-45
2024-08-13,46,No,Travel_Rarely,Sales,2,Master's Degree,Marketing,Female,Manager,Single,18947.0,No,1,2,4,2,3,22,2,2,2,2,High,46-55
2023-09-02,33,No,Travel_Rarely,R&D,2,Bachelor's Degree,Medical,Male,Laboratory Technician,Single,2496.0,No,4,3,4,3,3,7,1,1,0,3,Low,26-35
2023-05-08,44,No,Travel_Rarely,R&D,10,Master's Degree,Other,Male,Healthcare Representative,Married,6465.0,Yes,4,4,4,4,3,9,4,2,1,5,Medium,36-45
2024-01-04,30,No,Travel_Rarely,R&D,9,Associates Degree,Medical,Male,Laboratory Technician,Single,2206.0,No,3,4,1,3,3,10,10,0,1,5,Low,26-35
2024-12-14,39,Yes,Travel_Rarely,Sales,5,Bachelor's Degree,Technical Degree,Male,Sales Representative,Married,2086.0,No,4,4,3,4,3,19,1,0,0,6,Low,36-45
2023-05-23,24,Yes,Travel_Rarely,R&D,1,Bachelor's Degree,Medical,Male,Research Scientist,Married,2293.0,Yes,4,2,1,2,3,6,2,0,2,2,Low,18-25
2024-02-24,43,No,Travel_Rarely,R&D,2,Associates Degree,Medical,Female,Research Scientist,Divorced,2645.0,No,3,4,4,2,3,6,5,3,1,3,Low,36-45
2024-05-07,50,Yes,Travel_Rarely,Sales,3,Associates Degree,Marketing,Male,Sales Representative,Married,2683.0,Yes,3,1,3,3,3,3,3,2,0,2,Low,46-55
2023-08-24,35,No,Travel_Rarely,Sales,2,Bachelor's Degree,Marketing,Female,Sales Representative,Married,2014.0,No,4,4,1,3,3,2,2,2,2,3,Low,26-35
2024-12-17,36,No,Travel_Rarely,R&D,5,Master's Degree,Life Sciences,Female,Research Scientist,Married,3419.0,Yes,1,2,4,4,3,6,1,1,0,3,Low,36-45
2024-03-23,33,No,Travel_Frequently,Sales,1,Bachelor's Degree,Life Sciences,Female,Sales Executive,Married,5376.0,No,1,3,1,3,3,10,5,3,1,3,Medium,26-35
2023-11-16,35,No,Travel_Rarely,R&D,4,Associates Degree,Other,Male,Laboratory Technician,Divorced,1951.0,No,4,3,3,3,3,1,1,0,0,3,Low,26-35
2023-12-26,27,No,Travel_Rarely,R&D,2,Master's Degree,Life Sciences,Female,Laboratory Technician,Divorced,2341.0,No,1,4,4,3,3,1,1,0,0,6,Low,26-35
2024-07-29,26,Yes,Travel_Rarely,R&D,25,Bachelor's Degree,Life Sciences,Male,Laboratory Technician,Single,2293.0,No,3,1,3,2,3,1,1,0,0,2,Low,26-35
2023-12-19,27,No,Travel_Frequently,Sales,8,Bachelor's Degree,Life Sciences,Male,Sales Executive,Single,8726.0,No,3,4,4,3,3,9,9,8,1,0,High,26-35
2024-11-17,30,No,Travel_Frequently,R&D,1,Associates Degree,Medical,Female,Laboratory Technician,Single,4011.0,No,4,3,4,3,4,12,12,8,3,2,Low,26-35
2023-04-05,41,Yes,Travel_Rarely,R&D,12,Bachelor's Degree,Technical Degree,Female,Research Director,Married,19545.0,No,3,2,4,3,3,23,22,15,15,0,High,36-45
2023-12-24,34,No,Non-Travel,Sales,23,Master's Degree,Marketing,Male,Sales Executive,Single,4568.0,No,3,2,3,3,4,10,9,5,8,2,Low,26-35
2023-04-15,37,No,Travel_Rarely,R&D,19,Associates Degree,Life Sciences,Male,Research Scientist,Married,3022.0,No,2,2,1,3,4,8,1,0,0,1,Low,36-45
2023-06-06,46,No,Travel_Frequently,Sales,5,Master's Degree,Marketing,Male,Sales Executive,Single,5772.0,Yes,4,1,3,3,4,14,9,6,0,4,Medium,46-55
2024-11-26,35,No,Travel_Rarely,R&D,8,High School,Life Sciences,Male,Laboratory Technician,Married,2269.0,No,4,4,4,3,3,1,1,0,0,2,Low,26-35
2023-10-09,48,Yes,Travel_Rarely,R&D,1,Associates Degree,Life Sciences,Male,Laboratory Technician,Single,5381.0,Yes,3,1,4,3,3,23,1,0,0,2,Medium,46-55
2023-06-25,28,Yes,Travel_Rarely,R&D,5,Master's Degree,Technical Degree,Male,Laboratory Technician,Single,3441.0,Yes,3,3,3,2,3,2,2,2,2,3,Low,26-35
2023-11-21,44,No,Travel_Rarely,Sales,1,Doctoral Degree,Marketing,Female,Sales Executive,Divorced,6512.767759562841,Yes,1,2,3,2,4,9,4,3,1,2,Medium,36-45
2023-04-19,35,No,Non-Travel,R&D,11,Associates Degree,Medical,Male,Healthcare Representative,Married,9884.0,Yes,1,3,3,3,3,10,4,0,2,3,High,26-35
2023-11-10,26,No,Travel_Rarely,Sales,23,Bachelor's Degree,Marketing,Female,Sales Executive,Married,4157.0,Yes,4,3,3,2,3,5,2,2,0,2,Low,26-35
2023-10-06,33,No,Travel_Frequently,R&D,1,Associates Degree,Life Sciences,Female,Research Director,Single,13458.0,Yes,4,1,3,3,3,15,15,14,8,1,High,26-35
2024-12-10,35,No,Travel_Frequently,Sales,18,Doctoral Degree,Life Sciences,Male,Sales Executive,Married,9069.0,No,1,2,4,2,4,9,9,8,1,3,High,26-35
2024-08-10,35,No,Travel_Rarely,R&D,23,Master's Degree,Medical,Female,Laboratory Technician,Married,4014.0,Yes,1,3,3,3,3,4,2,2,2,3,Low,26-35
2023-06-17,31,No,Travel_Rarely,R&D,7,Master's Degree,Life Sciences,Male,Laboratory Technician,Divorced,5915.0,No,4,4,4,2,4,10,7,7,1,3,Medium,26-35
2023-07-25,37,No,Travel_Rarely,R&D,1,Master's Degree,Life Sciences,Male,Manufacturing Director,Divorced,5993.0,No,3,1,3,4,3,7,7,5,0,2,Medium,36-45
2024-05-14,32,No,Travel_Rarely,R&D,1,Bachelor's Degree,Medical,Male,Manufacturing Director,Married,6162.0,Yes,4,1,2,3,4,9,9,8,7,3,Medium,26-35
2023-05-30,38,No,Travel_Frequently,R&D,29,Doctoral Degree,Life Sciences,Female,Laboratory Technician,Single,2406.0,No,4,4,4,3,3,10,10,3,9,2,Low,36-45
2024-07-05,50,No,Travel_Rarely,R&D,7,Associates Degree,Medical,Female,Research Director,Divorced,18740.0,Yes,3,2,4,2,3,29,27,3,13,2,High,46-55
2023-10-15,59,No,Travel_Rarely,Sales,25,Bachelor's Degree,Life Sciences,Female,Sales Executive,Single,7637.0,No,1,1,4,2,3,28,21,16,7,3,Medium,56-65
2023-11-26,36,No,Travel_Rarely,R&D,8,Unknown,Technical Degree,Female,Healthcare Representative,Divorced,10096.0,No,3,3,2,3,3,17,17,14,12,2,High,36-45
2024-08-18,55,No,Travel_Rarely,R&D,8,Bachelor's Degree,Medical,Female,Manager,Divorced,14756.0,Yes,3,4,3,3,3,21,5,0,0,2,High,46-55
2023-05-09,36,No,Travel_Frequently,R&D,11,Bachelor's Degree,Life Sciences,Male,Manufacturing Director,Single,6499.0,No,2,2,3,3,3,6,6,5,0,3,Medium,36-45
2023-03-08,45,No,Travel_Rarely,R&D,7,Bachelor's Degree,Life Sciences,Male,Research Scientist,Divorced,9724.0,No,1,2,3,3,3,25,1,0,0,2,High,36-45
2024-06-14,35,No,Travel_Frequently,R&D,1,Bachelor's Degree,Medical,Male,Research Scientist,Married,2194.0,No,1,2,4,2,3,5,3,2,1,2,Low,26-35
2023-11-21,36,Yes,Travel_Rarely,R&D,9,Bachelor's Degree,Medical,Male,Research Scientist,Married,3388.0,Yes,3,4,1,2,3,2,1,0,0,0,Low,36-45
2023-04-19,59,No,Travel_Frequently,Sales,1,High School,Life Sciences,Female,Sales Executive,Single,5473.0,No,3,1,4,2,3,20,4,3,1,2,Medium,56-65
2023-01-13,29,No,Travel_Rarely,R&D,2,Bachelor's Degree,Life Sciences,Male,Research Scientist,Married,2703.0,No,2,3,4,3,4,6,5,4,0,3,Low,26-35
2024-03-06,31,No,Travel_Rarely,R&D,1,Master's Degree,Medical,Male,Research Scientist,Single,2501.0,No,2,3,2,3,3,1,1,1,1,4,Low,26-35
2024-11-05,32,No,Travel_Rarely,R&D,1,Bachelor's Degree,Life Sciences,Male,Research Scientist,Married,6220.0,No,2,2,2,3,3,10,10,4,0,3,Medium,26-35
2023-06-16,36,No,Travel_Rarely,R&D,6,Bachelor's Degree,Life Sciences,Female,Laboratory Technician,Married,3038.0,No,4,2,2,3,3,5,1,0,0,3,Low,36-45
2023-03-28,31,No,Travel_Rarely,R&D,8,Master's Degree,Life Sciences,Female,Manufacturing Director,Single,4424.0,No,4,3,4,3,4,11,11,7,1,2,Low,26-35
2024-04-15,35,No,Travel_Rarely,Sales,1,Master's Degree,Marketing,Male,Sales Executive,Single,4312.0,No,1,3,2,3,3,16,15,13,2,2,Low,26-35
2025-01-06,45,No,Travel_Rarely,R&D,6,Master's Degree,Other,Male,Research Director,Married,13245.0,Yes,1,4,2,4,3,17,0,0,0,3,High,36-45
2024-01-30,37,No,Travel_Rarely,R&D,7,Master's Degree,Medical,Male,Research Director,Single,13664.0,No,3,1,1,4,3,16,5,2,0,3,High,36-45
2023-07-30,46,No,Travel_Rarely,HR,5,Associates Degree,Medical,Male,Human Resources,Divorced,5021.0,Yes,2,2,4,3,4,16,4,2,0,2,Medium,46-55
2024-02-02,30,No,Travel_Rarely,R&D,1,High School,Life Sciences,Male,Laboratory Technician,Married,5126.0,Yes,4,4,3,2,3,10,10,8,3,1,Medium,26-35
2024-05-13,35,No,Travel_Rarely,R&D,1,Bachelor's Degree,Medical,Male,Research Scientist,Single,2859.0,No,3,2,1,3,3,6,6,4,0,3,Low,26-35
2024-10-09,55,No,Travel_Rarely,Sales,1,Associates Degree,Life Sciences,Male,Sales Executive,Married,10239.0,No,4,1,4,3,3,24,1,0,1,4,High,46-55
2024-08-21,38,No,Non-Travel,R&D,6,Bachelor's Degree,Medical,Female,Research Scientist,Divorced,5329.0,Yes,4,2,4,3,3,17,13,11,1,3,Medium,36-45
2024-10-21,34,No,Travel_Rarely,R&D,1,Associates Degree,Medical,Male,Manufacturing Director,Married,4325.0,No,2,1,3,3,3,5,5,2,1,2,Low,26-35
2023-10-17,56,No,Travel_Rarely,R&D,7,Bachelor's Degree,Life Sciences,Male,Manufacturing Director,Single,7260.0,No,4,4,1,2,3,37,6,4,0,3,Medium,56-65
2024-03-11,23,No,Travel_Rarely,Sales,2,High School,Technical Degree,Male,Sales Representative,Divorced,2322.0,No,1,3,3,3,3,3,0,0,0,3,Low,18-25
2023-09-23,51,No,Travel_Rarely,R&D,9,Master's Degree,Life Sciences,Male,Laboratory Technician,Married,2075.0,No,4,4,2,3,4,10,4,2,0,4,Low,46-55
2023-03-08,30,No,Travel_Rarely,R&D,2,Bachelor's Degree,Life Sciences,Male,Healthcare Representative,Married,4152.0,No,4,3,1,3,3,11,11,10,10,3,Low,26-35
2024-08-04,46,Yes,Travel_Rarely,Sales,9,Associates Degree,Medical,Male,Sales Executive,Single,9619.0,No,4,3,4,3,3,9,9,8,4,3,High,46-55
2023-02-09,40,No,Travel_Frequently,R&D,1,Master's Degree,Life Sciences,Male,Healthcare Representative,Married,13503.0,No,2,3,4,2,4,22,22,3,11,3,High,36-45
2023-02-14,51,No,Travel_Rarely,Sales,21,Master's Degree,Marketing,Male,Sales Executive,Single,6512.767759562841,Yes,4,3,4,1,4,11,10,7,1,2,Medium,46-55
2023-04-27,30,No,Travel_Rarely,Sales,4,Associates Degree,Medical,Female,Sales Executive,Divorced,5209.0,Yes,2,3,2,2,3,11,11,8,2,4,Medium,26-35
2023-04-08,46,No,Travel_Frequently,R&D,1,Bachelor's Degree,Medical,Male,Healthcare Representative,Married,10673.0,Yes,1,3,3,2,3,21,10,9,9,5,High,46-55
2024-04-25,32,No,Travel_Rarely,Sales,6,Master's Degree,Medical,Male,Sales Executive,Single,5010.0,No,3,2,1,3,3,12,11,8,5,0,Medium,26-35
2024-03-24,54,No,Travel_Rarely,R&D,2,Master's Degree,Technical Degree,Female,Research Director,Married,13549.0,No,3,1,1,1,3,16,4,3,0,5,High,46-55
2024-08-14,24,No,Travel_Rarely,Sales,3,Associates Degree,Other,Female,Sales Executive,Married,4999.0,No,3,1,1,2,4,4,3,2,0,2,Low,18-25
2023-10-01,28,No,Non-Travel,Sales,4,Bachelor's Degree,Medical,Male,Sales Executive,Married,4221.0,No,3,2,2,4,3,5,5,4,0,3,Low,26-35
2023-03-12,58,No,Travel_Rarely,Sales,10,Master's Degree,Medical,Male,Sales Executive,Single,13872.0,No,3,4,3,2,3,38,37,10,1,1,High,56-65
2024-12-02,44,No,Non-Travel,R&D,23,Bachelor's Degree,Medical,Male,Laboratory Technician,Married,2042.0,No,2,2,3,4,3,17,3,2,1,3,Low,36-45
2024-01-07,37,Yes,Travel_Rarely,HR,6,Master's Degree,Human Resources,Male,Human Resources,Unknown,2073.0,Yes,1,3,4,3,4,7,3,2,0,3,Low,36-45
2023-11-21,32,No,Travel_Rarely,R&D,1,High School,Life Sciences,Male,Research Scientist,Single,2956.0,No,1,4,4,3,3,1,1,0,0,2,Low,26-35
2023-11-24,20,Yes,Travel_Frequently,R&D,6,Bachelor's Degree,Life Sciences,Female,Laboratory Technician,Single,2926.0,Yes,4,4,2,3,3,1,1,0,1,5,Low,18-25
2024-05-06,34,No,Travel_Rarely,R&D,6,Master's Degree,Other,Female,Research Scientist,Single,4809.0,No,3,1,3,3,3,16,16,13,2,3,Low,26-35
2023-07-30,37,No,Non-Travel,R&D,2,Associates Degree,Life Sciences,Male,Healthcare Representative,Divorced,5163.0,No,4,3,4,4,3,17,1,0,0,2,Medium,36-45
2023-05-24,59,No,Non-Travel,HR,2,Master's Degree,Human Resources,Female,Manager,Married,18844.0,No,4,3,4,3,4,30,3,2,2,3,High,56-65
2024-08-01,50,No,Travel_Frequently,R&D,1,Bachelor's Degree,Life Sciences,Female,Research Director,Married,18172.0,Yes,2,1,1,2,3,28,8,3,0,1,High,46-55
2024-12-01,25,Yes,Travel_Rarely,Sales,5,Bachelor's Degree,Marketing,Male,Sales Executive,Single,5744.0,Yes,3,3,4,3,3,6,6,4,0,1,Medium,18-25
2024-06-11,25,No,Travel_Rarely,R&D,7,High School,Medical,Male,Research Scientist,Married,2889.0,No,4,4,3,3,3,2,2,2,2,2,Low,18-25
2024-11-05,22,No,Travel_Rarely,R&D,15,Bachelor's Degree,Medical,Female,Laboratory Technician,Single,2871.0,No,4,2,3,3,3,1,0,0,0,5,Low,18-25
2024-10-03,51,No,Travel_Frequently,R&D,1,Master's Degree,Medical,Female,Healthcare Representative,Single,7484.0,No,1,1,3,2,4,23,13,12,12,1,Medium,46-55
2024-09-13,34,Yes,Travel_Frequently,R&D,7,Bachelor's Degree,Life Sciences,Male,Laboratory Technician,Single,6074.0,Yes,3,1,4,3,4,9,9,7,0,3,Medium,26-35
2023-04-05,54,No,Non-Travel,HR,26,Unknown,Human Resources,Female,Manager,Single,17328.0,Yes,4,4,3,3,3,23,5,3,4,3,High,46-55
2023-12-02,24,No,Travel_Rarely,R&D,18,High School,Life Sciences,Male,Laboratory Technician,Married,2774.0,No,3,2,3,3,3,6,5,3,1,2,Low,18-25
2024-01-18,34,No,Travel_Rarely,R&D,6,Master's Degree,Life Sciences,Female,Research Scientist,Divorced,4505.0,No,2,3,3,3,3,12,1,0,0,3,Low,26-35
2024-01-25,37,No,Travel_Rarely,Sales,3,Bachelor's Degree,Life Sciences,Male,Sales Executive,Single,7428.0,No,4,3,1,3,3,12,5,3,1,3,Medium,36-45
2024-03-28,34,No,Travel_Rarely,R&D,5,Bachelor's Degree,Medical,Female,Manager,Single,11631.0,No,1,3,4,3,3,14,11,10,5,6,High,26-35
2023-12-01,36,No,Travel_Frequently,Sales,11,Associates Degree,Technical Degree,Female,Sales Executive,Married,9738.0,No,4,2,3,3,3,10,9,7,2,6,High,36-45
2023-10-11,36,No,Travel_Rarely,R&D,3,Associates Degree,Life Sciences,Female,Laboratory Technician,Divorced,2835.0,No,4,1,1,3,4,7,1,0,0,2,Low,36-45
2023-11-09,43,No,Travel_Frequently,Sales,26,Associates Degree,Life Sciences,Male,Manager,Married,16959.0,Yes,4,3,4,4,3,25,25,12,4,3,High,36-45
2023-10-12,30,No,Travel_Frequently,R&D,23,Bachelor's Degree,Life Sciences,Male,Research Scientist,Unknown,2613.0,No,3,1,3,2,4,10,10,7,0,2,Low,26-35
2024-10-28,33,No,Non-Travel,Sales,22,Associates Degree,Marketing,Male,Sales Executive,Married,6146.0,No,2,3,1,4,3,8,7,7,0,2,Medium,26-35
2023-01-18,56,Yes,Travel_Rarely,R&D,14,Master's Degree,Life Sciences,Female,Research Scientist,Married,4963.0,Yes,2,2,1,3,3,7,5,4,4,2,Low,56-65
2024-03-07,51,No,Travel_Rarely,R&D,6,Bachelor's Degree,Life Sciences,Male,Research Director,Unknown,19537.0,No,3,1,3,3,3,23,20,18,15,5,High,46-55
2024-12-11,31,Yes,Travel_Rarely,Sales,6,Master's Degree,Life Sciences,Male,Sales Executive,Married,6172.0,Yes,3,2,2,2,3,12,7,7,7,3,Medium,26-35
2023-01-09,26,No,Travel_Rarely,R&D,6,Bachelor's Degree,Other,Female,Research Scientist,Married,2368.0,No,2,3,3,2,3,5,5,4,4,3,Low,26-35
2023-12-11,58,Yes,Travel_Rarely,R&D,23,Master's Degree,Medical,Female,Healthcare Representative,Married,10312.0,No,4,4,4,2,3,40,40,10,15,3,High,56-65
2023-09-20,19,Yes,Travel_Rarely,Sales,22,High School,Marketing,Male,Sales Representative,Single,1675.0,Yes,3,4,4,2,3,0,0,0,0,2,Low,18-25
2023-04-28,22,No,Travel_Rarely,R&D,2,High School,Technical Degree,Male,Laboratory Technician,Married,2523.0,No,4,3,3,3,3,3,2,1,2,2,Low,18-25
2023-09-01,49,No,Travel_Rarely,R&D,20,Master's Degree,Medical,Female,Manufacturing Director,Married,6567.0,No,1,3,3,2,3,16,15,11,5,2,Medium,46-55
2024-10-01,43,No,Travel_Frequently,R&D,28,Bachelor's Degree,Medical,Female,Research Scientist,Single,4739.0,No,3,2,4,3,3,18,3,2,1,2,Low,36-45
2024-08-03,50,No,Travel_Frequently,Sales,12,Bachelor's Degree,Marketing,Female,Sales Executive,Single,9208.0,No,4,3,4,3,3,16,2,2,2,3,High,46-55
2023-01-10,31,Yes,Travel_Rarely,Sales,20,Bachelor's Degree,Life Sciences,Female,Sales Executive,Married,4559.0,Yes,3,2,3,3,3,4,2,2,2,2,Low,26-35
2024-07-28,41,No,Travel_Rarely,Sales,9,High School,Life Sciences,Male,Sales Executive,Divorced,8189.0,Yes,3,3,3,3,3,12,9,7,0,2,High,36-45
2024-11-30,26,No,Travel_Rarely,HR,25,High School,Life Sciences,Female,Human Resources,Married,2942.0,No,3,3,4,3,4,8,8,7,5,3,Low,26-35
2024-07-13,36,No,Travel_Rarely,R&D,6,Associates Degree,Medical,Male,Manufacturing Director,Divorced,4941.0,No,2,2,4,3,4,7,3,2,0,0,Low,36-45
2023-03-11,51,Yes,Travel_Frequently,R&D,8,Master's Degree,Life Sciences,Male,Manufacturing Director,Single,10650.0,No,4,1,4,3,3,18,4,2,0,2,High,46-55
2023-02-01,39,No,Travel_Rarely,Sales,4,Master's Degree,Life Sciences,Female,Sales Executive,Married,5902.0,No,3,4,3,4,3,17,15,11,5,1,Medium,36-45
2023-11-12,25,No,Travel_Rarely,Sales,28,Bachelor's Degree,Life Sciences,Male,Sales Executive,Married,8639.0,No,3,1,4,3,3,6,2,2,2,3,High,18-25
2023-01-11,30,No,Travel_Rarely,HR,9,Bachelor's Degree,Human Resources,Male,Human Resources,Married,6347.0,Yes,4,3,4,1,3,12,11,9,4,2,Medium,26-35
2024-03-15,32,Yes,Travel_Rarely,R&D,9,Bachelor's Degree,Medical,Female,Laboratory Technician,Single,4200.0,No,1,1,1,4,4,10,5,4,0,2,Low,26-35
2024-02-20,45,No,Travel_Rarely,R&D,29,Bachelor's Degree,Medical,Male,Research Scientist,Single,3452.0,No,4,3,2,2,3,9,6,5,0,2,Low,36-45
2023-08-02,38,No,Travel_Rarely,R&D,3,Doctoral Degree,Technical Degree,Female,Research Scientist,Single,4317.0,Yes,3,4,2,3,4,19,3,2,2,2,Low,36-45
2023-01-11,30,No,Travel_Rarely,R&D,18,Bachelor's Degree,Life Sciences,Female,Research Scientist,Single,2632.0,No,3,1,3,2,3,5,5,4,0,4,Low,26-35
2023-01-23,32,No,Travel_Frequently,Sales,9,Associates Degree,Medical,Male,Sales Executive,Divorced,4668.0,No,4,4,4,4,3,9,8,7,0,2,Low,26-35
2024-03-28,30,No,Travel_Rarely,R&D,5,Bachelor's Degree,Technical Degree,Female,Research Scientist,Divorced,3204.0,No,1,4,4,3,3,8,3,2,2,3,Low,26-35
2024-10-07,30,No,Travel_Rarely,R&D,2,High School,Medical,Male,Laboratory Technician,Single,2720.0,No,4,2,4,3,3,6,5,3,1,3,Low,26-35
2023-06-17,41,No,Travel_Frequently,R&D,10,Bachelor's Degree,Life Sciences,Male,Manager,Divorced,17181.0,No,1,4,2,2,3,21,7,6,7,2,High,36-45
2023-03-25,41,No,Travel_Rarely,R&D,9,Master's Degree,Life Sciences,Male,Laboratory Technician,Married,2238.0,No,1,3,4,3,4,7,5,0,1,2,Low,36-45
2024-12-18,19,No,Travel_Rarely,R&D,3,High School,Medical,Female,Laboratory Technician,Single,1483.0,No,2,2,4,3,3,1,1,0,0,3,Low,18-25
2024-07-30,40,No,Travel_Frequently,R&D,26,Bachelor's Degree,Medical,Female,Research Scientist,Divorced,5605.0,No,2,2,1,3,3,20,20,7,2,2,Medium,36-45
2023-11-05,35,No,Travel_Rarely,Sales,1,Doctoral Degree,Marketing,Male,Sales Executive,Married,7295.0,No,2,3,1,3,3,10,10,8,0,3,Medium,26-35
2024-10-17,53,No,Travel_Rarely,Sales,6,Associates Degree,Marketing,Male,Sales Representative,Married,2306.0,Yes,3,2,4,1,4,13,7,7,4,3,Low,46-55
2024-05-01,45,No,Travel_Rarely,R&D,9,Bachelor's Degree,Life Sciences,Male,Laboratory Technician,Divorced,2348.0,No,2,2,3,1,3,20,17,9,0,2,Low,36-45
2024-08-03,32,No,Travel_Frequently,Sales,8,Bachelor's Degree,Marketing,Female,Sales Executive,Single,8998.0,No,4,2,4,3,3,9,9,8,3,2,High,26-35
